timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662395125240,397,HTTP Request Large PDF,200,OK,Thread Group 1 1-10,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,5,0,0
1662395125635,8,HTTP Request Small PNG,200,OK,Thread Group 1 1-17,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,8,0,0
1662395125683,11,HTTP Request Small PDF,200,OK,Thread Group 1 1-23,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,6,0,0
1662395125698,9,HTTP Request Small HTML,200,OK,Thread Group 1 1-6,text,true,,5229,123,30,30,http://192.168.188.134/small.html,9,0,0
1662395125680,37,HTTP Request Medium PDF,200,OK,Thread Group 1 1-30,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,8,0,0
1662395125809,29,HTTP Request Medium PNG,200,OK,Thread Group 1 1-19,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,9,0,0
1662395125823,44,HTTP Request Medium PNG,200,OK,Thread Group 1 1-18,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,11,0,0
1662395125835,44,HTTP Request Medium HTML,200,OK,Thread Group 1 1-16,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,8,0,0
1662395125302,578,HTTP Request Large PNG,200,OK,Thread Group 1 1-7,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,7,0,0
1662395125838,47,HTTP Request Medium HTML,200,OK,Thread Group 1 1-10,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,5,0,0
1662395125880,5,HTTP Request Small PDF,200,OK,Thread Group 1 1-27,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,5,0,0
1662395125849,39,HTTP Request Medium HTML,200,OK,Thread Group 1 1-2,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,14,0,0
1662395125904,9,HTTP Request Small PDF,200,OK,Thread Group 1 1-7,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,9,0,0
1662395125858,64,HTTP Request Medium PDF,200,OK,Thread Group 1 1-4,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,18,0,0
1662395125931,7,HTTP Request Small HTML,200,OK,Thread Group 1 1-26,text,true,,5229,123,30,30,http://192.168.188.134/small.html,7,0,0
1662395125537,408,HTTP Request Large PDF,200,OK,Thread Group 1 1-29,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,22,0,0
1662395125939,12,HTTP Request Small PNG,200,OK,Thread Group 1 1-14,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,11,0,0
1662395125957,9,HTTP Request Small PDF,200,OK,Thread Group 1 1-24,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,9,0,0
1662395125559,418,HTTP Request Large PNG,200,OK,Thread Group 1 1-3,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,13,0,0
1662395125527,451,HTTP Request Large HTML,200,OK,Thread Group 1 1-13,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,7,0,0
1662395125968,24,HTTP Request Medium PNG,200,OK,Thread Group 1 1-28,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,11,0,0
1662395125604,394,HTTP Request Large PDF,200,OK,Thread Group 1 1-5,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,6,0,0
1662395126005,18,HTTP Request Medium PNG,200,OK,Thread Group 1 1-21,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,9,0,0
1662395125647,387,HTTP Request Large HTML,200,OK,Thread Group 1 1-1,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,7,0,0
1662395125713,357,HTTP Request Large PNG,200,OK,Thread Group 1 1-15,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,8,0,0
1662395125749,327,HTTP Request Large HTML,200,OK,Thread Group 1 1-8,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,11,0,0
1662395125507,570,HTTP Request Large HTML,200,OK,Thread Group 1 1-11,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,9,0,0
1662395126000,112,HTTP Request Large HTML,200,OK,Thread Group 1 1-9,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,6,0,0
1662395126109,4,HTTP Request Small PDF,200,OK,Thread Group 1 1-11,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,4,0,0
1662395126110,4,HTTP Request Small PNG,200,OK,Thread Group 1 1-20,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,4,0,0
1662395126057,58,HTTP Request Medium HTML,200,OK,Thread Group 1 1-12,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,16,0,0
1662395126125,4,HTTP Request Medium PNG,200,OK,Thread Group 1 1-13,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,1,0,0
1662395126134,12,HTTP Request Medium PDF,200,OK,Thread Group 1 1-25,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,1,0,0
1662395126159,16,HTTP Request Medium PNG,200,OK,Thread Group 1 1-3,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,9,0,0
1662395126203,8,HTTP Request Small PNG,200,OK,Thread Group 1 1-5,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,8,0,0
1662395126142,81,HTTP Request Large HTML,200,OK,Thread Group 1 1-22,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,2,0,0
1662395126136,106,HTTP Request Large PDF,200,OK,Thread Group 1 1-29,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,2,0,0
1662395126248,2,HTTP Request Small HTML,200,OK,Thread Group 1 1-1,text,true,,5229,123,30,30,http://192.168.188.134/small.html,2,0,0
1662395126281,17,HTTP Request Medium HTML,200,OK,Thread Group 1 1-23,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,3,0,0
1662395126300,22,HTTP Request Medium PDF,200,OK,Thread Group 1 1-6,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,6,0,0
1662395126237,116,HTTP Request Large HTML,200,OK,Thread Group 1 1-17,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,3,0,0
1662395126348,11,HTTP Request Medium PNG,200,OK,Thread Group 1 1-8,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,8,0,0
1662395126279,107,HTTP Request Large PDF,200,OK,Thread Group 1 1-30,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,1,0,0
1662395126407,6,HTTP Request Small PNG,200,OK,Thread Group 1 1-19,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,6,0,0
1662395126313,101,HTTP Request Large PNG,200,OK,Thread Group 1 1-15,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,4,0,0
1662395126425,1,HTTP Request Small HTML,200,OK,Thread Group 1 1-18,text,true,,5229,123,30,30,http://192.168.188.134/small.html,1,0,0
1662395126438,4,HTTP Request Small HTML,200,OK,Thread Group 1 1-10,text,true,,5229,123,30,30,http://192.168.188.134/small.html,4,0,0
1662395126448,8,HTTP Request Medium PNG,200,OK,Thread Group 1 1-2,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,4,0,0
1662395126504,3,HTTP Request Small PNG,200,OK,Thread Group 1 1-7,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,3,0,0
1662395126539,14,HTTP Request Small PNG,200,OK,Thread Group 1 1-14,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,14,0,0
1662395126458,98,HTTP Request Large PNG,200,OK,Thread Group 1 1-4,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,4,0,0
1662395126558,12,HTTP Request Small PNG,200,OK,Thread Group 1 1-24,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,12,0,0
1662395126435,143,HTTP Request Large PNG,200,OK,Thread Group 1 1-16,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,2,0,0
1662395126529,50,HTTP Request Medium PNG,200,OK,Thread Group 1 1-26,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,12,0,0
1662395126480,116,HTTP Request Large HTML,200,OK,Thread Group 1 1-27,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,5,0,0
1662395126599,5,HTTP Request Small HTML,200,OK,Thread Group 1 1-9,text,true,,5229,123,30,30,http://192.168.188.134/small.html,5,0,0
1662395126605,8,HTTP Request Medium PDF,200,OK,Thread Group 1 1-21,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,5,0,0
1662395126570,76,HTTP Request Large HTML,200,OK,Thread Group 1 1-28,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,10,0,0
1662395126657,55,HTTP Request Large HTML,200,OK,Thread Group 1 1-12,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,1,0,0
1662395126726,9,HTTP Request Medium HTML,200,OK,Thread Group 1 1-13,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,3,0,0
1662395126803,37,HTTP Request Medium PNG,200,OK,Thread Group 1 1-5,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,18,0,0
1662395126849,72,HTTP Request Medium PDF,200,OK,Thread Group 1 1-1,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,24,0,0
1662395126758,189,HTTP Request Large PNG,200,OK,Thread Group 1 1-3,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,5,0,0
1662395126879,76,HTTP Request Medium PDF,200,OK,Thread Group 1 1-30,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,23,0,0
1662395126880,77,HTTP Request Medium HTML,200,OK,Thread Group 1 1-23,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,23,0,0
1662395126710,254,HTTP Request Large PDF,200,OK,Thread Group 1 1-20,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,3,0,0
1662395126898,76,HTTP Request Medium PNG,200,OK,Thread Group 1 1-6,bin,true,,241896,123,30,30,http://192.168.188.134/medium.png,26,0,0
